ID,Aligned Time,Source Time,Commander,DM->CMD,DM->RN,RN,Transaction,Antecedent,Relation,Notes
0,0,0,(calibrate),,,,1,,,
1,0,0,,,calibrate,,1,0,translation-r,
2,0,0,,calibrating. . .,,,1,0,ack-doing,
3,18.23,15.41,,,,done,1,1,ack-done,
4,20.29,20.29,,calibration complete,,,1,3,translation-l,
5,26.27,22.95,take a picture,,,,2,,,
6,30.01,30.01,,,send image,,2,5,translation-r,
7,31.07,28.25,,,,sent,2,6,ack-done,
8,32.65,32.65,,sent,,,2,7,translation-l,
9,44.92,41.6,rotate right forty five degrees,,,,3,,,
10,47.79,47.79,,ok,,,3,9,ack-wilco,
11,51.39,51.39,,,turn right 45 degrees,,3,9,translation-r,
12,52.89,52.89,,I will turn right 45 degrees,,,3,9,ack-wilco,
13,54.58,54.58,,turning. . .,,,3,9,ack-doing,
14,58.47,55.65,,,,done,3,11,ack-done,
15,59.68,56.36,take a picture,,,,4,,,
16,60.43,60.43,,done,,,3,14,translation-l,
17,62.3,62.3,,,send image,,4,15,translation-r,
18,63.4,60.58,,,,sent,4,17,ack-done,
19,64.75,64.75,,sent,,,4,18,translation-l,
20,76.1699999999999,72.85,rotate right <long pause> sixty degrees,,,,5,,,
21,82.35,82.35,,ok,,,5,20,ack-wilco,
22,89.44,89.44,,,turn right 60 degrees,,5,20,translation-r,
23,92.18,92.18,,turning. . .,,,5,20,ack-doing,
24,97.8899999999999,95.07,,,,done,5,22,ack-done,
25,100.48,100.48,,done,,,5,24,translation-l,
26,101.32,98,take a picture,,,,6,,,
27,104.46,104.46,,,send image,,6,26,translation-r,
28,105.77,102.95,,,,sent,6,27,ack-done,
29,108.62,108.62,,sent,,,6,28,translation-l,
30,126.31,122.99,<pause> back up t two feet ,,,,7,,,
31,129.66,126.34,and take a picture,,,,7,30,continue,
32,142.24,142.24,,,move back 2 feet,,7,30,translation-r,
33,143.5,143.5,,,then. . .,,7,32,continue,
34,144.72,144.72,,,send image,,7,31,continue,
35,148.519999999999,145.7,,,,done and sent,7,34*,ack-done,
36,150.81,150.81,,"done, sent",,,7,35,translation-l,
37,157.73,154.41,rotate one hundred eighty degrees,,,,8,,,
38,160.239999999999,156.92,and take a picture,,,,8,37,continue,
39,164.22,164.22,,ok,,,8,38*,ack-wilco,
40,167.09,167.09,,,turn 180,,8,37,translation-r,
41,167.99,167.99,,I will turn around 180 degrees,,,8,39,ack-wilco,
42,169.34,169.34,,and. . .,,,8,41,continue,
43,170.17,170.17,,,then. . .,,8,40,translation-r,
44,171.26,171.26,,,send image,,8,38,continue,
